,title,region,region_name,price_title,property_size,bedrooms,bathrooms,furnishing,boosted,state,price_m2
860,1bdrm Block of Flats in Mabushi District for sale,"Abuja (FCT), Mabushi",Mabushi,80000000.0,1000,1,2,Unfurnished,1,Abuja,80000.0
861,5bdrm House in Alakuko for sale,"Ifako-Ijaiye, Alakuko",Alakuko,35000000.0,500,5,4,Semi-furnished,1,Lagos,70000.0
862,3bdrm Bungalow in Rumuodara for sale,"Port-Harcourt, Rumuodara",Rumuodara,110000000.0,465,3,3,Semi-furnished,1,Rivers,236559.0
863,"5bdrm Duplex in Ajah, Lagos for sale","Lagos State, Ajah",Ajah,200000000.0,450,5,6,Unfurnished,1,Lagos,444444.0
864,4bdrm Duplex in Vgc Ajah Lagos for sale,"Ajah, VGC / Ajah",VGC / Ajah,175000000.0,200,4,5,Unfurnished,1,Lagos,875000.0
865,3bdrm Apartment in Chevron Toll for sale,"Lekki, Chevron",Chevron,90000000.0,200,3,4,Unfurnished,1,Lagos,450000.0
866,"4bdrm Duplex in Ikate, Lekki, Lagos for sale","Lekki, Ikate",Ikate,260000000.0,300,4,4,Unfurnished,1,Lagos,866667.0
867,"6bdrm Duplex in Chevron,Lekki Lagos for sale","Lekki, Chevron",Chevron,530000000.0,200,6,7,Unfurnished,1,Lagos,2650000.0
868,5bdrm Duplex in Vgc Lekki for sale,"Ajah, VGC / Ajah",VGC / Ajah,300000000.0,200,5,6,Unfurnished,1,Lagos,1500000.0
869,"4bdrm Duplex in Ajah, Lagos for sale","Lagos State, Ajah",Ajah,150000000.0,350,4,4,Unfurnished,1,Lagos,428571.0
